Elevator,Floor,Layout,Region,Renovation,Size,Year,Price
,6,3室1厅,丰台,简装,73,1998,385
,4,2室1厅,西城,精装,48,1990,570
有电梯,18,1室1厅,海淀,简装,43,1998,495
有电梯,28,3室2厅,朝阳,简装,128,2002,830
无电梯,6,2室1厅,通州,精装,65,2009,336
,6,4室2厅,丰台,简装,130,2000,720
无电梯,6,2室1厅,西城,简装,65,1980,760
有电梯,16,2室1厅,东城,简装,74,2003,730
有电梯,28,2室1厅,朝阳,其他,79,2005,666
,5,3室2厅,昌平,简装,121,2001,345
无电梯,6,2室1厅,海淀,简装,63,1999,440
有电梯,11,1室1厅,丰台,精装,68,2007,408
有电梯,9,4室2厅,西城,精装,226,2003,2500
,6,1室1厅,丰台,精装,43,1995,255
有电梯,22,3室2厅,西城,精装,143,2004,950
无电梯,5,2室1厅,西城,精装,53,1976,470
,18,2室1厅,大兴,简装,80,2011,350
,17,3室2厅,海淀,精装,132,2002,1230
有电梯,18,1室1厅,大兴,精装,63,2010,305
,18,2室2厅,平谷,其他,87,2014,210
,6,2室2厅,昌平,简装,81,1996,320
有电梯,22,2室1厅,朝阳,精装,145,1997,920
无电梯,6,2室2厅,朝阳,简装,76,2004,422
有电梯,21,3室2厅,丰台,简装,117,2001,565
无电梯,5,2室1厅,海淀,简装,47,1980,476
无电梯,6,2室1厅,海淀,精装,90,2008,688
,6,2室1厅,石景山,简装,66,2000,299
,24,3室2厅,西城,简装,183,1999,1193
,17,3室1厅,东城,其他,81,1990,800
无电梯,7,2室1厅,大兴,其他,105,2002,398
无电梯,6,2室1厅,昌平,精装,89,2002,251
,16,1室1厅,丰台,精装,45,2007,286
,18,3室1厅,丰台,精装,116,2001,699
,20,3室2厅,房山,其他,100,2013,260
有电梯,29,2室1厅,丰台,简装,77,2005,430
有电梯,16,3室2厅,海淀,简装,135,1999,1219
,6,2室1厅,丰台,精装,72,1997,380
,26,2室2厅,丰台,其他,88,2002,430
,5,2室1厅,昌平,毛坯,49,1994,190
,18,2室1厅,朝阳,精装,63,1988,390
有电梯,24,2室1厅,西城,其他,92,2004,670
有电梯,31,2室1厅,丰台,简装,67,2000,300
,6,3室2厅,门头沟,精装,122,2004,510
无电梯,6,2室1厅,东城,其他,64,1993,690
,6,2室1厅,海淀,简装,68,1996,590
有电梯,14,3室1厅,西城,精装,68,1980,660
有电梯,21,2室1厅,朝阳,简装,61,1991,440
有电梯,4,1室2厅,顺义,其他,72,2003,270
,15,2室1厅,昌平,简装,82,2010,400
有电梯,11,2室1厅,大兴,精装,92,2009,487
有电梯,9,3室2厅,朝阳,精装,124,2007,760
,15,2室1厅,房山,其他,89,2014,245
有电梯,20,2室1厅,西城,简装,64,1991,780
无电梯,6,1室1厅,通州,简装,52,1992,240
有电梯,11,1室1厅,大兴,简装,70,2004,330
有电梯,21,2室1厅,大兴,其他,73,2014,335
无电梯,5,1室1厅,东城,毛坯,42,1987,490
有电梯,22,1室1厅,海淀,精装,52,2004,410
,6,2室1厅,丰台,精装,74,2007,375
有电梯,11,4室2厅,朝阳,精装,209,2005,2093
,6,2室2厅,昌平,精装,93,2005,230
,20,3室1厅,西城,精装,136,2014,2188
有电梯,5,5室2厅,通州,精装,172,2012,1560
,5,2室1厅,海淀,其他,47,1975,310
,6,3室1厅,丰台,其他,68,1988,505
,4,2室1厅,西城,简装,67,1957,805
无电梯,6,2室1厅,丰台,简装,61,1987,410
,16,3室2厅,海淀,简装,151,2001,1580
,6,2室1厅,丰台,其他,67,1998,270
有电梯,24,2室1厅,通州,简装,74,2010,380
无电梯,6,3室1厅,通州,精装,111,2005,470
,6,2室1厅,顺义,简装,80,2006,360
有电梯,20,3室2厅,房山,其他,118,2012,505
有电梯,21,2室1厅,昌平,精装,72,2010,318
,5,2室1厅,昌平,其他,52,1979,225
,6,3室1厅,丰台,精装,69,1995,445
有电梯,23,1室0厅,亦庄开发区,简装,33,2008,125
,4,2室1厅,石景山,精装,64,1963,380
,28,3室1厅,朝阳,简装,144,2001,730
有电梯,22,1室0厅,通州,精装,63,2009,285
有电梯,9,2室1厅,海淀,简装,81,1999,620
,8,2室1厅,海淀,简装,96,2010,580
无电梯,6,2室1厅,大兴,简装,82,1998,320
,15,1室1厅,东城,其他,67,2008,690
有电梯,15,3室1厅,海淀,简装,140,2004,920
,21,2室1厅,大兴,精装,87,2014,548
有电梯,19,3室1厅,丰台,简装,114,1999,653
无电梯,7,4室2厅,通州,简装,184,1998,580
无电梯,6,2室1厅,朝阳,简装,88,2002,460
有电梯,18,2室1厅,通州,毛坯,87,2013,390
,10,7室3厅,丰台,精装,320,2001,2000
,18,3室1厅,海淀,简装,139,2003,2068
无电梯,6,3室1厅,昌平,精装,84,1996,407
有电梯,14,2室1厅,通州,精装,91,2010,446
,6,2室1厅,海淀,精装,62,1992,480
有电梯,21,3室1厅,丰台,简装,131,2003,488
有电梯,11,2室1厅,海淀,精装,98,2009,630
无电梯,6,2室2厅,昌平,精装,102,2002,470
无电梯,6,1室0厅,昌平,精装,41,2003,260
无电梯,6,4室2厅,大兴,其他,158,2001,650
,20,2室2厅,房山,精装,89,2011,258
无电梯,5,2室1厅,海淀,简装,57,1985,295
有电梯,33,3室1厅,昌平,精装,114,2014,530
,5,4室1厅,门头沟,毛坯,236,2016,1300
有电梯,7,3室1厅,丰台,精装,164,2004,830
有电梯,21,1室1厅,石景山,精装,61,2006,450
有电梯,15,3室1厅,昌平,精装,125,2011,500
有电梯,12,3室2厅,大兴,简装,155,2007,530
有电梯,13,2室1厅,顺义,其他,109,2013,750
,5,2室1厅,东城,精装,50,1982,725
有电梯,15,2室1厅,海淀,简装,117,2003,630
无电梯,6,2室1厅,丰台,简装,57,1993,330
有电梯,11,3室1厅,顺义,精装,121,2006,550
有电梯,26,3室1厅,朝阳,简装,160,1995,750
有电梯,18,2室1厅,东城,简装,107,1999,697
无电梯,4,4室2厅,昌平,精装,208,1999,1360
无电梯,3,4室1厅,房山,毛坯,170,2010,548
无电梯,6,3室1厅,通州,其他,98,1995,470
,18,2室1厅,大兴,简装,94,2012,468
有电梯,20,2室1厅,昌平,简装,77,2008,455
有电梯,18,4室1厅,朝阳,精装,215,2004,2300
无电梯,4,2室1厅,大兴,其他,58,1987,235
有电梯,18,2室1厅,丰台,其他,81,1991,500
有电梯,26,1室1厅,西城,简装,54,2004,476
有电梯,16,2室1厅,丰台,精装,91,2006,540
无电梯,6,2室1厅,海淀,简装,64,1985,568
有电梯,10,3室2厅,朝阳,精装,168,2000,1280
有电梯,18,3室1厅,朝阳,简装,108,2003,470
,12,2室2厅,朝阳,简装,84,1991,580
,8,1室1厅,东城,精装,70,2005,780
,6,2室1厅,通州,简装,55,1986,262
有电梯,17,3室2厅,海淀,精装,128,2003,1180
无电梯,6,1室1厅,西城,精装,45,1991,430
有电梯,18,4室2厅,海淀,精装,166,2001,1500
无电梯,6,3室1厅,昌平,简装,96,1996,435
有电梯,19,2室1厅,丰台,其他,90,2000,495
,6,3室1厅,朝阳,简装,74,1992,390
无电梯,6,2室1厅,朝阳,简装,51,1987,404
,18,2室1厅,朝阳,简装,66,1991,463
,7,2室1厅,朝阳,精装,98,2010,700
,12,4室2厅,房山,精装,142,2014,710
有电梯,11,1室1厅,东城,其他,65,2003,670
有电梯,16,2室1厅,大兴,简装,89,2006,395
有电梯,18,3室1厅,丰台,精装,115,1997,670
有电梯,10,2室2厅,海淀,简装,105,1998,900
无电梯,6,2室2厅,房山,其他,81,1998,250
,14,2室1厅,朝阳,精装,83,2004,347
有电梯,11,4室2厅,大兴,精装,197,2002,850
,6,3室1厅,东城,简装,67,1990,670
无电梯,4,3室2厅,昌平,简装,191,1997,760
无电梯,6,3室2厅,海淀,简装,139,2001,868
有电梯,24,1室1厅,西城,简装,56,2004,499
无电梯,6,2室1厅,通州,简装,84,2000,430
有电梯,26,1室1厅,丰台,简装,62,2006,379
有电梯,9,3室1厅,房山,精装,135,2009,480
无电梯,6,2室2厅,朝阳,简装,92,2000,530
,5,3室1厅,西城,精装,68,1979,850
有电梯,18,3室1厅,海淀,简装,67,1989,570
有电梯,16,2室1厅,海淀,其他,88,2007,820
无电梯,6,3室1厅,丰台,精装,68,1990,439
有电梯,26,1室0厅,西城,精装,28,2006,320
有电梯,28,1室1厅,朝阳,精装,58,2004,390
有电梯,4,5室2厅,通州,精装,288,2009,1818
无电梯,6,3室2厅,昌平,简装,124,2009,490
有电梯,28,1室1厅,通州,简装,74,2004,350
,6,2室1厅,大兴,简装,60,1988,249
无电梯,6,2室1厅,石景山,精装,62,1986,365
,19,2室1厅,丰台,精装,91,2009,655
,6,2室1厅,房山,简装,95,2008,308
无电梯,5,4室2厅,亦庄开发区,精装,180,2004,900
无电梯,6,2室2厅,朝阳,简装,92,1997,598
,6,2室1厅,西城,其他,60,1984,770
,4,3室2厅,房山,其他,139,2015,695
,10,2室1厅,石景山,精装,98,2005,539
有电梯,23,1室1厅,石景山,精装,59,2004,381
有电梯,14,1室1厅,门头沟,精装,51,2006,233
,5,2室1厅,朝阳,简装,56,1983,280
无电梯,3,2室1厅,朝阳,简装,54,1990,388
,28,2室1厅,丰台,简装,91,2003,485
有电梯,21,2室1厅,昌平,其他,89,2009,420
,6,1室1厅,东城,精装,47,1990,435
无电梯,6,2室2厅,昌平,精装,82,2013,310
有电梯,16,2室1厅,西城,简装,58,1991,610
,6,2室1厅,通州,精装,76,2001,344
无电梯,6,2室1厅,门头沟,简装,90,2003,360
无电梯,6,2室2厅,大兴,简装,53,1986,249
,6,3室2厅,昌平,精装,137,2005,590
,5,1室1厅,海淀,简装,76,2005,525
有电梯,8,3室1厅,昌平,其他,102,2007,573
有电梯,24,3室1厅,丰台,简装,124,2005,669
有电梯,24,2室1厅,丰台,精装,75,1997,580
无电梯,7,3室1厅,丰台,简装,106,2001,570
有电梯,25,2室1厅,石景山,简装,93,2012,558
有电梯,14,2室1厅,房山,精装,85,2011,300
,16,2室1厅,房山,精装,118,2007,350
,11,2室1厅,朝阳,精装,77,2007,500
,9,4室2厅,海淀,简装,194,2000,1780
无电梯,5,3室2厅,大兴,简装,134,1999,630
有电梯,26,2室1厅,昌平,精装,85,2012,389
无电梯,6,3室2厅,大兴,简装,118,2001,530
,19,3室2厅,丰台,简装,176,1999,971
无电梯,6,3室3厅,丰台,简装,129,2000,680
无电梯,6,2室1厅,西城,精装,59,1990,740
无电梯,6,2室2厅,亦庄开发区,简装,84,1996,420
有电梯,24,3室1厅,朝阳,简装,94,2002,399
,9,2室2厅,石景山,简装,133,2006,760
有电梯,21,2室1厅,丰台,简装,95,2005,560
无电梯,6,2室1厅,西城,简装,52,1979,445
无电梯,6,3室2厅,昌平,其他,115,2000,480
有电梯,13,2室1厅,西城,简装,68,1991,610
有电梯,12,1室1厅,亦庄开发区,简装,75,2005,270
有电梯,11,2室1厅,通州,简装,102,2004,470
有电梯,21,3室1厅,顺义,其他,138,2002,438
有电梯,20,2室1厅,房山,精装,78,2012,328
无电梯,5,3室2厅,房山,精装,134,2003,380
有电梯,6,2室1厅,昌平,简装,86,2011,500
有电梯,21,3室1厅,东城,精装,92,1990,920
,5,4室2厅,顺义,精装,357,2015,950
无电梯,6,3室1厅,顺义,精装,131,2004,410
有电梯,11,2室1厅,朝阳,精装,70,2007,370
无电梯,6,3室1厅,丰台,简装,65,1995,410
有电梯,12,2室1厅,朝阳,简装,67,1997,530
,15,2室1厅,大兴,其他,104,2007,520
有电梯,9,3室2厅,朝阳,精装,124,2007,760
无电梯,6,1室1厅,昌平,其他,50,1998,210
,10,3室2厅,顺义,精装,208,2003,1150
无电梯,5,2室1厅,昌平,简装,59,1983,248
,12,1室0厅,海淀,其他,36,2004,300
,22,2室1厅,昌平,毛坯,81,2015,485
有电梯,14,2室1厅,海淀,简装,62,1985,516
,6,1室1厅,海淀,简装,42,1986,470
无电梯,6,3室2厅,石景山,简装,138,1996,720
无电梯,6,2室1厅,西城,精装,60,1989,818
,6,3室1厅,怀柔,精装,104,2003,310
无电梯,6,2室1厅,门头沟,简装,74,2000,260
有电梯,14,3室1厅,丰台,简装,112,2002,640
无电梯,7,3室2厅,昌平,简装,84,2005,438
无电梯,6,3室1厅,昌平,简装,133,1999,455
无电梯,6,2室2厅,通州,简装,93,2002,300
有电梯,16,5室2厅,门头沟,简装,212,2006,870
有电梯,22,2室1厅,丰台,其他,102,2005,620
有电梯,14,1室1厅,朝阳,简装,46,1992,380
无电梯,6,1室0厅,通州,精装,39,2002,225
有电梯,27,1室1厅,丰台,精装,84,2010,400
,7,5室2厅,昌平,简装,120,2003,530
,16,3室2厅,海淀,简装,150,2005,2400
,6,2室1厅,东城,精装,73,2002,850
,6,4室1厅,西城,其他,72,1978,743
,2,2室1厅,海淀,简装,63,1992,383
有电梯,23,3室2厅,朝阳,精装,113,2013,930
有电梯,12,1室1厅,东城,精装,47,2003,740
,12,2室1厅,东城,简装,65,1992,660
,6,3室2厅,大兴,简装,126,2000,460
,18,3室2厅,亦庄开发区,精装,121,2014,800
,6,2室1厅,海淀,精装,73,1999,650
,16,2室1厅,石景山,其他,74,1995,353
有电梯,16,3室1厅,海淀,精装,69,1985,590
有电梯,31,2室1厅,通州,精装,100,2009,450
,7,1室1厅,西城,精装,49,2005,510
无电梯,6,3室2厅,昌平,精装,119,1998,460
无电梯,6,2室1厅,石景山,毛坯,56,1984,290
无电梯,5,1室1厅,东城,简装,39,1987,498
,9,3室2厅,大兴,精装,106,2015,680
,27,3室2厅,大兴,精装,131,2010,746
有电梯,16,2室1厅,石景山,简装,102,2007,509
无电梯,7,3室2厅,丰台,简装,120,2000,485
,6,2室1厅,大兴,其他,55,1993,239
有电梯,7,3室1厅,朝阳,精装,130,2004,900
无电梯,6,2室1厅,通州,简装,90,2003,360
有电梯,25,2室2厅,朝阳,精装,108,2006,870
有电梯,22,1室1厅,昌平,精装,74,2010,311
有电梯,11,2室1厅,朝阳,精装,84,2003,760
有电梯,26,1室1厅,西城,其他,34,2006,350
,17,2室1厅,海淀,精装,92,2003,810
有电梯,9,1室1厅,昌平,其他,57,2005,305
有电梯,15,2室2厅,顺义,精装,93,2007,440
,21,2室1厅,石景山,其他,90,2009,410
有电梯,15,2室1厅,大兴,简装,114,2003,480
无电梯,6,1室1厅,东城,精装,48,1992,319.9
,6,2室1厅,昌平,简装,79,2003,299
,4,4室2厅,昌平,毛坯,213,2016,1451
有电梯,15,1室1厅,通州,精装,77,2014,330
有电梯,26,3室2厅,海淀,精装,140,2001,1410
有电梯,17,3室2厅,朝阳,精装,172,2005,1200
,2,4室2厅,海淀,简装,265,2013,1550
,21,3室2厅,朝阳,精装,148,2003,1230
有电梯,26,2室1厅,海淀,精装,83,1999,790
,14,2室1厅,朝阳,简装,61,1986,370
,4,4室1厅,海淀,精装,205,1999,2700
,18,1室1厅,海淀,精装,72,2011,680
,6,8室4厅,昌平,精装,309,2000,1050
有电梯,28,2室1厅,房山,精装,87,2011,390
,28,1室1厅,朝阳,精装,61,2011,347
有电梯,14,3室2厅,朝阳,简装,139,2004,680
,9,3室2厅,昌平,精装,135,2008,548
无电梯,5,3室1厅,东城,简装,105,1994,880
有电梯,12,2室1厅,东城,简装,61,1987,520
无电梯,6,2室2厅,昌平,简装,99,2001,345
无电梯,6,2室1厅,昌平,简装,56,1992,335
有电梯,27,2室1厅,昌平,精装,85,2012,550
,25,1室1厅,丰台,简装,54,2004,340
有电梯,17,2室1厅,昌平,精装,88,2010,365
无电梯,6,3室1厅,西城,简装,69,1984,706
有电梯,27,2室2厅,石景山,精装,111,2006,770
,21,3室1厅,东城,其他,147,2005,1065
有电梯,22,2室1厅,通州,简装,86,2008,290
有电梯,9,1室1厅,海淀,精装,55,2005,460
